epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.14,3.9909,5.17759,4.26106,0.0016,0.02342,0.00086,0.00021,4.16551,inf,5.11578,0.00332485,0.00332485,0.00332485
2,186.31,3.42719,4.0792,3.31092,0.48171,0.08074,0.04662,0.01631,2.87283,3.25001,2.58866,0.00659227,0.00659227,0.00659227
3,269.475,2.60417,2.92713,2.26457,0.28492,0.16928,0.12664,0.05635,2.34781,2.64416,2.08665,0.00979369,0.00979369,0.00979369
4,352.095,2.17804,2.36386,1.85758,0.39961,0.24199,0.22085,0.10742,2.07945,2.19343,1.82964,0.009703,0.009703,0.009703
5,434.513,1.98026,2.05846,1.68589,0.46891,0.28327,0.28561,0.14823,1.95504,2.04788,1.71585,0.009604,0.009604,0.009604
6,516.639,1.87594,1.89193,1.6039,0.4559,0.34458,0.34801,0.18577,1.85907,1.86595,1.63478,0.009505,0.009505,0.009505
7,599.309,1.80416,1.79473,1.54945,0.54114,0.35759,0.38735,0.20969,1.79187,1.76776,1.58163,0.009406,0.009406,0.009406
8,681.713,1.74663,1.706,1.50515,0.53668,0.39655,0.41766,0.23394,1.72917,1.65642,1.52795,0.009307,0.009307,0.009307
9,763.944,1.70694,1.64485,1.46986,0.605,0.39971,0.44259,0.25166,1.69154,1.60602,1.49109,0.009208,0.009208,0.009208
10,846.465,1.68178,1.59584,1.43767,0.57857,0.41841,0.46307,0.26614,1.66082,1.55872,1.46546,0.009109,0.009109,0.009109
11,929.208,1.65093,1.55203,1.41482,0.57181,0.44363,0.47141,0.26985,1.64973,1.53422,1.43399,0.00901,0.00901,0.00901
12,1012.02,1.6276,1.51609,1.39849,0.61923,0.44897,0.49498,0.28988,1.59794,1.47685,1.42135,0.008911,0.008911,0.008911
13,1094.24,1.60405,1.47372,1.37578,0.61675,0.46651,0.50922,0.29615,1.60455,1.4598,1.40095,0.008812,0.008812,0.008812
14,1176.6,1.58517,1.452,1.36326,0.61548,0.47317,0.51707,0.3065,1.56566,1.42045,1.37716,0.008713,0.008713,0.008713
15,1259.45,1.56681,1.42427,1.35059,0.62923,0.47786,0.5266,0.31313,1.55041,1.38391,1.36456,0.008614,0.008614,0.008614
16,1341.89,1.55012,1.39775,1.33669,0.64702,0.48393,0.53691,0.32292,1.53207,1.37092,1.35009,0.008515,0.008515,0.008515
17,1424.31,1.53941,1.3841,1.32814,0.65944,0.49453,0.55019,0.33043,1.52231,1.3385,1.3482,0.008416,0.008416,0.008416
18,1506.93,1.53177,1.36712,1.32028,0.66208,0.48781,0.54888,0.33194,1.50374,1.33682,1.32653,0.008317,0.008317,0.008317
19,1589.91,1.51751,1.35363,1.31285,0.6918,0.49956,0.56541,0.34495,1.48974,1.29858,1.32033,0.008218,0.008218,0.008218
20,1672.74,1.50568,1.32454,1.30307,0.69105,0.50776,0.57538,0.35348,1.47864,1.28487,1.30866,0.008119,0.008119,0.008119
21,1755.47,1.49475,1.31504,1.29509,0.69386,0.51256,0.58416,0.35919,1.46462,1.26119,1.30057,0.00802,0.00802,0.00802
22,1838.28,1.47948,1.29473,1.28735,0.67443,0.52717,0.58392,0.3607,1.45405,1.25504,1.28678,0.007921,0.007921,0.007921
23,1921.46,1.47121,1.28137,1.2785,0.67592,0.53505,0.59262,0.36672,1.45113,1.24464,1.27957,0.007822,0.007822,0.007822
24,2004.05,1.46473,1.26811,1.27206,0.71239,0.53386,0.60087,0.37158,1.43406,1.22188,1.27335,0.007723,0.007723,0.007723
25,2086.75,1.45952,1.26269,1.27049,0.7144,0.54081,0.60672,0.37668,1.42696,1.21005,1.26704,0.007624,0.007624,0.007624
26,2169.69,1.4506,1.24529,1.26508,0.70717,0.53738,0.60917,0.38028,1.41295,1.20027,1.25864,0.007525,0.007525,0.007525
27,2252.31,1.44284,1.23834,1.26226,0.734,0.54414,0.61729,0.3861,1.41437,1.18605,1.25687,0.007426,0.007426,0.007426
28,2335.06,1.43839,1.2296,1.25888,0.71781,0.55367,0.62187,0.39167,1.40383,1.17308,1.24623,0.007327,0.007327,0.007327
29,2417.54,1.43031,1.21993,1.25164,0.72498,0.54918,0.6222,0.39263,1.3924,1.17078,1.23962,0.007228,0.007228,0.007228
30,2500.43,1.42458,1.21377,1.24948,0.72597,0.56109,0.63044,0.39656,1.38966,1.15528,1.23914,0.007129,0.007129,0.007129
31,2582.77,1.42302,1.20515,1.24582,0.75083,0.55032,0.63407,0.40408,1.37728,1.14131,1.23115,0.00703,0.00703,0.00703
32,2665.38,1.41205,1.19217,1.23878,0.7499,0.55646,0.64091,0.40543,1.38015,1.12704,1.23164,0.006931,0.006931,0.006931
33,2747.84,1.40726,1.18293,1.23373,0.72981,0.5637,0.64163,0.40955,1.37133,1.11895,1.22393,0.006832,0.006832,0.006832
34,2830.77,1.39986,1.17643,1.23257,0.74626,0.5656,0.64781,0.41368,1.36388,1.11818,1.2176,0.006733,0.006733,0.006733
35,2913.3,1.39843,1.16693,1.22942,0.74146,0.57381,0.65131,0.41737,1.35548,1.10315,1.21632,0.006634,0.006634,0.006634
